Publico Presente,Time da Casa,Time Visitante,Dia da Semana,Posicao do Time da Casa no Campeonato,Posicao do Time Visitante no Campeonato,Popularidade do Time da Casa,Popularidade do Time Visitante,Importancia do Jogo,Cor do Uniforme da Casa,Cor do Uniforme Visitante,Distancia entre Cidades (km),Previsao do Tempo,Dia Nacional
44333,Team C,Team B,Friday,3,17,5,9.1,Medium,Branco,Branco,770,Nublado,Sim
45713,Team D,Team A,Tuesday,20,15,1.5,1.1,High,Verde,Amarelo,282,Ensolarado,Nao
14907,Team D,Team B,Friday,7,6,4.6,4.8,Low,Branco,Branco,604,Chuvoso,Nao
61979,Team D,Team A,Friday,6,14,4.8,8.9,Medium,Branco,Vermelho,916,Ensolarado,Nao
20754,Team C,Team A,Monday,16,10,10,6.1,Medium,Azul,Azul,261,Chuvoso,Nao
30365,Team C,Team A,Sunday,13,15,2.4,7.6,High,Branco,Vermelho,855,Chuvoso,Sim
23537,Team D,Team B,Monday,20,20,7.3,6,High,Amarelo,Branco,347,Chuvoso,Sim
32720,Team C,Team D,Friday,18,15,9.6,2.9,Low,Vermelho,Amarelo,427,Neve,Nao
20156,Team B,Team B,Sunday,15,19,5.8,2.6,Low,Amarelo,Branco,199,Chuvoso,Sim
23409,Team C,Team C,Thursday,5,10,5,4.5,Medium,Azul,Azul,68,Neve,Sim
1676,Team B,Team D,Tuesday,9,4,4,1.7,High,Branco,Amarelo,90,Chuvoso,Sim
6217,Team D,Team C,Tuesday,17,10,6.2,5.1,Medium,Branco,Vermelho,901,Nublado,Sim
34549,Team B,Team A,Thursday,16,12,10,6.4,Low,Amarelo,Branco,457,Chuvoso,Sim
13729,Team A,Team A,Saturday,9,7,3.1,3.6,High,Verde,Branco,656,Chuvoso,Sim
1833,Team D,Team D,Tuesday,11,18,9.9,4.7,Medium,Verde,Verde,425,Nublado,Sim
-6998,Team B,Team B,Monday,3,16,6.6,4.7,Medium,Vermelho,Vermelho,504,Chuvoso,Nao
20369,Team B,Team A,Wednesday,14,13,5.4,3,High,Verde,Verde,179,Chuvoso,Sim
40891,Team C,Team C,Saturday,13,11,6.2,6.1,Low,Amarelo,Amarelo,534,Ensolarado,Sim
37878,Team B,Team A,Sunday,3,15,8.8,2.4,Low,Azul,Amarelo,283,Neve,Nao
23366,Team C,Team A,Wednesday,16,14,5.5,7.2,Low,Vermelho,Branco,871,Chuvoso,Sim
39133,Team B,Team D,Monday,8,16,5.6,1.4,Medium,Amarelo,Azul,180,Neve,Nao
31411,Team B,Team B,Thursday,15,1,6.3,4.3,High,Branco,Branco,91,Ensolarado,Sim
4368,Team C,Team D,Friday,5,19,2.4,5.2,High,Azul,Amarelo,852,Neve,Nao
15721,Team A,Team A,Wednesday,12,8,1.2,5.4,Low,Amarelo,Verde,637,Neve,Sim
54635,Team B,Team B,Friday,20,12,6,7.6,High,Vermelho,Verde,334,Neve,Sim
33148,Team B,Team C,Thursday,17,3,6.9,8.8,High,Azul,Azul,424,Nublado,Sim
30915,Team D,Team D,Monday,6,10,2.6,4.3,High,Verde,Vermelho,908,Chuvoso,Nao
34572,Team C,Team A,Sunday,11,20,9.6,7.3,Low,Azul,Azul,179,Neve,Nao
44888,Team C,Team D,Saturday,10,13,7.4,1.9,High,Branco,Amarelo,492,Ensolarado,Nao
7706,Team A,Team C,Monday,5,12,6.4,9.1,Medium,Amarelo,Azul,398,Chuvoso,Nao
50651,Team D,Team D,Saturday,2,19,7.1,2.5,High,Azul,Branco,720,Neve,Sim
15458,Team A,Team D,Monday,15,8,7.2,5.6,Low,Amarelo,Amarelo,604,Nublado,Nao
50209,Team A,Team B,Monday,15,3,9,5.6,Low,Azul,Azul,354,Nublado,Nao
46801,Team B,Team C,Saturday,20,2,5.4,4.5,High,Amarelo,Amarelo,328,Neve,Nao
27135,Team B,Team A,Tuesday,17,3,7.7,7.2,High,Azul,Vermelho,544,Ensolarado,Sim
14836,Team C,Team B,Saturday,17,12,8.3,8.2,High,Branco,Azul,962,Neve,Nao
33516,Team D,Team A,Saturday,5,14,4.6,5.9,Low,Vermelho,Amarelo,384,Chuvoso,Sim
31545,Team C,Team C,Thursday,10,7,5.2,4.8,Medium,Amarelo,Amarelo,651,Chuvoso,Nao
35997,Team D,Team B,Saturday,1,19,5.8,6.3,Medium,Verde,Verde,768,Ensolarado,Nao
38760,Team C,Team A,Thursday,17,16,9.8,3.6,Medium,Azul,Amarelo,521,Chuvoso,Sim
31625,Team A,Team C,Monday,7,2,2.9,1.2,High,Azul,Verde,659,Nublado,Nao
3294,Team A,Team C,Thursday,16,11,1.7,2.2,Medium,Branco,Amarelo,875,Chuvoso,Nao
17042,Team A,Team B,Saturday,4,8,2.4,5.4,High,Verde,Azul,629,Neve,Sim
34408,Team B,Team B,Sunday,17,14,5.6,4.6,High,Verde,Verde,222,Neve,Nao
47062,Team D,Team D,Thursday,17,13,4.7,3.6,Medium,Verde,Vermelho,657,Nublado,Sim
50399,Team D,Team A,Monday,12,6,1.2,7.8,High,Branco,Vermelho,159,Chuvoso,Nao
34926,Team B,Team A,Friday,18,3,1,3.8,Low,Verde,Amarelo,97,Ensolarado,Nao
22437,Team D,Team D,Tuesday,19,19,4.2,4.3,Low,Verde,Vermelho,521,Neve,Sim
13673,Team C,Team B,Wednesday,5,1,7.8,8.3,High,Vermelho,Azul,998,Neve,Sim
47991,Team A,Team B,Wednesday,9,6,2.4,1.6,High,Branco,Verde,491,Nublado,Nao
46397,Team B,Team B,Saturday,17,16,3.1,4.7,Low,Verde,Branco,751,Neve,Sim
49294,Team A,Team A,Saturday,13,7,7.4,7,Medium,Vermelho,Amarelo,373,Chuvoso,Sim
17012,Team D,Team C,Tuesday,8,7,3,1.8,Low,Amarelo,Verde,76,Nublado,Sim
41142,Team B,Team B,Wednesday,7,20,8.1,2.8,Low,Verde,Vermelho,83,Chuvoso,Nao
25723,Team D,Team B,Saturday,3,17,3.9,6.5,Low,Azul,Verde,160,Neve,Nao
13514,Team A,Team B,Friday,10,10,3,6.5,High,Azul,Amarelo,438,Chuvoso,Sim
31692,Team D,Team C,Sunday,4,11,4.8,2.3,Low,Vermelho,Branco,720,Ensolarado,Sim
31316,Team B,Team C,Saturday,15,14,8.9,4.2,Low,Vermelho,Verde,320,Ensolarado,Sim
-4481,Team D,Team C,Sunday,18,9,9.1,1.8,High,Azul,Verde,876,Ensolarado,Sim
49416,Team B,Team D,Saturday,15,4,2.2,1.7,Medium,Vermelho,Verde,196,Ensolarado,Nao
6078,Team B,Team A,Sunday,18,10,5.8,1.9,High,Amarelo,Vermelho,309,Neve,Nao
19754,Team B,Team A,Sunday,10,4,3.9,5.9,Medium,Vermelho,Verde,275,Chuvoso,Nao
12973,Team C,Team C,Monday,2,11,4.9,1.4,Low,Azul,Branco,622,Chuvoso,Nao
16756,Team D,Team C,Sunday,4,19,6.6,1.6,Medium,Amarelo,Verde,694,Neve,Sim
4661,Team D,Team D,Wednesday,2,12,1.4,4.8,High,Azul,Azul,696,Chuvoso,Sim
21679,Team A,Team B,Wednesday,3,11,2.3,8.2,Low,Azul,Verde,728,Ensolarado,Nao
-11296,Team B,Team A,Monday,12,6,1.8,2.5,High,Azul,Verde,174,Nublado,Nao
22092,Team B,Team B,Wednesday,6,18,5.7,5,Medium,Branco,Amarelo,531,Neve,Nao
7670,Team A,Team B,Sunday,11,18,2.3,7.2,High,Branco,Amarelo,916,Nublado,Sim
50487,Team D,Team B,Tuesday,20,2,1.7,8.2,Medium,Verde,Vermelho,672,Nublado,Sim
45900,Team D,Team A,Wednesday,14,7,5.4,5.4,Low,Vermelho,Vermelho,253,Nublado,Nao
34717,Team D,Team C,Wednesday,7,11,9.3,4.7,High,Verde,Branco,702,Ensolarado,Nao
18073,Team B,Team A,Tuesday,16,3,2,2.9,Low,Amarelo,Azul,789,Neve,Nao
29250,Team B,Team D,Wednesday,15,5,9.5,1.2,High,Azul,Azul,989,Neve,Sim
9861,Team A,Team C,Thursday,20,9,10,4.4,Low,Vermelho,Branco,628,Chuvoso,Nao
15179,Team C,Team B,Thursday,3,19,2.6,2.1,Medium,Amarelo,Amarelo,252,Neve,Nao
12188,Team C,Team D,Wednesday,20,4,2.4,2.6,Medium,Vermelho,Vermelho,539,Chuvoso,Nao
59145,Team B,Team A,Sunday,14,3,8.3,4.2,Medium,Vermelho,Azul,591,Ensolarado,Nao
12231,Team D,Team B,Tuesday,11,16,3,7.7,High,Branco,Branco,919,Chuvoso,Sim
9397,Team D,Team C,Sunday,12,3,5.7,9.2,Low,Vermelho,Vermelho,839,Neve,Sim
28166,Team C,Team D,Tuesday,17,17,7.5,8.4,High,Azul,Branco,177,Nublado,Nao
9398,Team D,Team C,Thursday,12,8,7.4,2.1,Medium,Azul,Vermelho,479,Ensolarado,Sim
41826,Team C,Team B,Friday,14,19,8,8.7,High,Azul,Azul,691,Nublado,Nao
26913,Team B,Team B,Monday,6,7,3.5,7.7,High,Azul,Vermelho,467,Nublado,Sim
47293,Team B,Team B,Monday,4,3,1.7,4.6,High,Amarelo,Branco,964,Ensolarado,Sim
31096,Team D,Team C,Wednesday,18,3,5.8,2.4,Low,Branco,Vermelho,250,Chuvoso,Nao
33990,Team D,Team C,Thursday,1,1,6.1,4.2,Low,Branco,Amarelo,682,Nublado,Sim
48238,Team C,Team D,Wednesday,15,1,5.5,9.6,Medium,Branco,Azul,946,Chuvoso,Nao
31643,Team D,Team C,Monday,7,17,4.3,7.6,High,Azul,Vermelho,922,Ensolarado,Sim
16884,Team B,Team D,Wednesday,8,13,5.3,8,Low,Amarelo,Azul,691,Chuvoso,Sim
45023,Team D,Team B,Monday,8,13,2.1,7.4,Low,Branco,Verde,715,Neve,Nao
18916,Team D,Team C,Saturday,8,1,3.2,6.3,Low,Vermelho,Azul,796,Neve,Nao
17697,Team D,Team A,Friday,14,17,6.2,2,Medium,Verde,Branco,404,Nublado,Nao
15694,Team B,Team A,Thursday,20,5,8.7,5.5,Low,Vermelho,Azul,239,Ensolarado,Nao
36895,Team D,Team D,Wednesday,18,17,2.7,4.3,Medium,Amarelo,Azul,273,Ensolarado,Sim
22497,Team C,Team B,Monday,9,9,5.2,7.2,High,Vermelho,Vermelho,724,Chuvoso,Sim
17857,Team A,Team A,Saturday,15,17,8.6,2.2,High,Verde,Amarelo,624,Nublado,Sim
35645,Team C,Team D,Friday,9,3,7.8,1.8,Medium,Branco,Azul,999,Ensolarado,Sim
20704,Team C,Team C,Tuesday,16,5,3.4,2.4,Low,Amarelo,Amarelo,664,Neve,Nao
34838,Team C,Team A,Thursday,12,15,8.7,3.8,Medium,Verde,Amarelo,540,Neve,Nao
19136,Team B,Team C,Wednesday,4,1,7.1,5.7,Medium,Vermelho,Vermelho,607,Ensolarado,Sim
26548,Team C,Team B,Sunday,12,12,5.8,3.1,Medium,Vermelho,Verde,887,Chuvoso,Sim
21020,Team D,Team B,Friday,14,1,3.1,8.2,Low,Branco,Vermelho,233,Neve,Nao
17644,Team B,Team D,Saturday,1,11,2.1,9.6,Low,Verde,Amarelo,378,Ensolarado,Nao
17704,Team A,Team A,Sunday,6,7,1.6,8.1,Low,Verde,Azul,811,Neve,Nao
55702,Team C,Team B,Wednesday,19,14,3.3,1.9,Medium,Amarelo,Azul,775,Neve,Nao
23329,Team A,Team B,Thursday,10,2,2.1,6.3,Medium,Azul,Verde,399,Chuvoso,Sim
31070,Team D,Team D,Friday,1,15,5.6,4.3,High,Vermelho,Azul,628,Ensolarado,Nao
-10334,Team D,Team D,Sunday,13,3,4.9,7.1,Medium,Azul,Branco,673,Chuvoso,Sim
48153,Team C,Team A,Saturday,2,10,8.1,7.3,High,Vermelho,Verde,738,Chuvoso,Sim
-593,Team D,Team A,Sunday,4,18,9.3,3.2,Low,Amarelo,Branco,457,Chuvoso,Nao
-17869,Team D,Team D,Friday,4,5,2.6,4.6,Low,Azul,Azul,308,Ensolarado,Sim
41724,Team D,Team A,Saturday,17,19,9.9,8.1,Low,Verde,Vermelho,908,Nublado,Nao
9238,Team B,Team B,Saturday,13,7,8.3,5.5,Medium,Amarelo,Amarelo,577,Neve,Nao
3019,Team A,Team D,Wednesday,15,7,4,9,High,Verde,Amarelo,736,Chuvoso,Nao
32885,Team C,Team D,Tuesday,4,13,3.4,3.2,High,Amarelo,Verde,553,Ensolarado,Nao
42752,Team A,Team C,Friday,10,18,8.4,10,Low,Amarelo,Verde,694,Chuvoso,Sim
17599,Team B,Team C,Sunday,1,3,9.7,8.9,Low,Amarelo,Azul,448,Nublado,Nao
-5253,Team D,Team C,Wednesday,2,5,6.4,2.4,Low,Verde,Amarelo,513,Nublado,Sim
17627,Team D,Team B,Thursday,8,4,1.3,2.2,High,Branco,Verde,318,Ensolarado,Sim
4813,Team B,Team A,Monday,4,19,4.7,4.9,Low,Branco,Amarelo,616,Nublado,Nao
15770,Team D,Team D,Friday,17,17,6.4,2.8,Low,Azul,Amarelo,662,Ensolarado,Sim
28170,Team C,Team A,Friday,17,9,5.8,3.4,High,Verde,Amarelo,98,Neve,Sim
37247,Team C,Team C,Tuesday,3,3,2.7,4.4,High,Vermelho,Amarelo,670,Chuvoso,Sim
13161,Team A,Team B,Saturday,7,8,1.2,6.8,Medium,Branco,Branco,525,Chuvoso,Sim
13119,Team B,Team A,Friday,9,17,4.4,1.9,High,Verde,Vermelho,484,Chuvoso,Sim
42355,Team B,Team B,Friday,1,6,7.6,2.2,Low,Verde,Vermelho,635,Chuvoso,Nao
6836,Team C,Team D,Monday,8,6,4.3,3.2,Medium,Amarelo,Vermelho,300,Neve,Nao
13764,Team D,Team A,Thursday,6,2,6.8,3.3,Medium,Azul,Amarelo,272,Ensolarado,Nao
25899,Team B,Team C,Sunday,13,3,7.1,8.8,High,Verde,Vermelho,675,Chuvoso,Nao
41263,Team B,Team B,Saturday,12,4,5.4,5.2,Low,Verde,Vermelho,401,Ensolarado,Nao
54512,Team D,Team D,Wednesday,15,18,5.4,9.8,Medium,Vermelho,Amarelo,145,Ensolarado,Sim
13144,Team B,Team C,Saturday,14,20,1.3,1.2,Medium,Vermelho,Verde,809,Chuvoso,Sim
9539,Team D,Team D,Thursday,10,14,4,4.3,Low,Branco,Vermelho,316,Neve,Nao
1251,Team A,Team C,Wednesday,17,12,5.7,6.6,Low,Verde,Verde,895,Ensolarado,Sim
5874,Team A,Team A,Thursday,15,20,4.2,6.2,Low,Branco,Branco,284,Chuvoso,Sim
38841,Team D,Team A,Saturday,11,8,6.6,2.5,Medium,Amarelo,Branco,513,Chuvoso,Sim
62550,Team A,Team B,Monday,11,14,3.1,2.9,High,Amarelo,Azul,392,Ensolarado,Nao
-4143,Team D,Team C,Tuesday,12,15,6.6,9.9,Medium,Azul,Verde,486,Chuvoso,Sim
50827,Team D,Team A,Thursday,19,7,7.1,9.7,Medium,Azul,Vermelho,381,Neve,Sim
41599,Team B,Team A,Tuesday,14,11,8.7,5.3,Low,Vermelho,Branco,664,Nublado,Sim
-4019,Team D,Team A,Monday,20,11,9.3,4.5,Low,Amarelo,Amarelo,464,Nublado,Sim
20694,Team D,Team C,Tuesday,1,7,3,7.1,Medium,Branco,Branco,429,Nublado,Sim
36878,Team D,Team B,Sunday,20,17,9.4,3.4,Low,Verde,Branco,818,Ensolarado,Nao
32843,Team D,Team A,Sunday,17,8,4.4,3.2,Low,Vermelho,Branco,215,Neve,Nao
47604,Team D,Team D,Tuesday,6,19,5.4,8.6,Medium,Vermelho,Amarelo,109,Neve,Nao
33979,Team C,Team D,Sunday,16,20,5.5,1.9,Medium,Branco,Verde,597,Neve,Sim
10762,Team C,Team A,Saturday,9,19,1.8,8.2,Low,Amarelo,Amarelo,389,Ensolarado,Sim
36993,Team C,Team C,Wednesday,12,19,6.5,2.4,Low,Amarelo,Amarelo,72,Chuvoso,Nao
27651,Team A,Team A,Thursday,5,7,1.2,5.7,Low,Amarelo,Amarelo,78,Ensolarado,Nao
33829,Team B,Team D,Monday,12,17,5.8,6.9,High,Verde,Azul,596,Neve,Sim
11652,Team A,Team C,Sunday,10,19,3.9,8.6,Low,Amarelo,Branco,317,Neve,Nao
26103,Team A,Team D,Friday,1,13,6.2,6.8,High,Branco,Azul,462,Ensolarado,Sim
-3623,Team C,Team B,Sunday,18,18,3,9.2,Medium,Verde,Vermelho,652,Nublado,Nao
20462,Team C,Team C,Monday,1,2,6.6,9.1,Medium,Branco,Verde,69,Chuvoso,Nao
17747,Team B,Team D,Monday,8,19,9.9,3.7,Low,Amarelo,Verde,516,Nublado,Nao
42748,Team D,Team C,Wednesday,16,14,3.4,9.3,Low,Azul,Amarelo,425,Neve,Sim
28123,Team A,Team C,Friday,8,16,9.2,2.3,High,Azul,Amarelo,254,Neve,Nao
4171,Team B,Team A,Wednesday,16,9,1.7,7.3,Low,Amarelo,Azul,235,Ensolarado,Sim
38317,Team D,Team C,Monday,6,17,3.4,9.1,Medium,Branco,Amarelo,56,Ensolarado,Nao
16594,Team A,Team A,Saturday,5,3,8.7,8.3,Low,Branco,Amarelo,345,Neve,Nao
235,Team B,Team C,Saturday,9,20,5.4,2.3,Low,Vermelho,Amarelo,156,Chuvoso,Sim
46848,Team A,Team D,Sunday,15,10,1.8,9.6,High,Verde,Azul,319,Ensolarado,Sim
23858,Team B,Team A,Tuesday,19,20,4.1,4.4,Medium,Vermelho,Branco,410,Chuvoso,Nao
6494,Team A,Team A,Tuesday,10,10,3.4,3.1,High,Azul,Azul,688,Ensolarado,Sim
17989,Team D,Team A,Monday,13,8,4.8,9.4,Low,Azul,Verde,183,Nublado,Sim
41567,Team A,Team C,Sunday,10,5,8.4,2.6,Low,Vermelho,Verde,158,Ensolarado,Nao
48858,Team C,Team C,Saturday,19,3,8.9,9.3,Medium,Branco,Branco,203,Neve,Sim
37516,Team A,Team A,Thursday,10,4,7.4,4.3,Low,Amarelo,Azul,511,Ensolarado,Nao
10088,Team D,Team A,Wednesday,5,14,8.2,2.7,High,Branco,Verde,206,Ensolarado,Nao
13027,Team C,Team C,Sunday,2,13,6.9,8.3,Medium,Amarelo,Vermelho,438,Nublado,Sim
34928,Team D,Team A,Tuesday,15,18,6.9,2,Low,Vermelho,Verde,579,Neve,Nao
59715,Team D,Team B,Sunday,12,7,8.3,2.7,Medium,Vermelho,Verde,263,Ensolarado,Sim
22709,Team B,Team D,Wednesday,6,5,1.6,4.1,High,Amarelo,Amarelo,163,Nublado,Nao
45526,Team D,Team C,Monday,11,7,2,9.7,Medium,Vermelho,Azul,199,Neve,Nao
30388,Team D,Team D,Friday,14,12,8.1,1.4,Medium,Amarelo,Branco,299,Ensolarado,Sim
33267,Team D,Team A,Thursday,19,7,7.7,8.1,High,Azul,Amarelo,563,Ensolarado,Sim
11969,Team C,Team C,Monday,16,16,2.5,1.9,Low,Branco,Branco,919,Neve,Sim
771,Team A,Team C,Saturday,19,1,7.6,7.8,High,Azul,Amarelo,76,Chuvoso,Nao
56417,Team C,Team D,Saturday,6,3,7.3,2.6,High,Vermelho,Azul,89,Neve,Sim
22680,Team D,Team B,Wednesday,2,16,3.3,6.7,Medium,Amarelo,Vermelho,754,Chuvoso,Nao
48463,Team D,Team B,Wednesday,15,3,6,7.7,High,Amarelo,Amarelo,864,Nublado,Nao
26914,Team D,Team C,Friday,8,2,7,9.6,High,Azul,Verde,237,Chuvoso,Sim
32454,Team C,Team D,Wednesday,9,6,7,8.8,Low,Amarelo,Verde,913,Ensolarado,Sim
21896,Team D,Team D,Thursday,5,9,9.9,2.5,Medium,Amarelo,Azul,408,Nublado,Sim
1731,Team B,Team B,Tuesday,1,19,9.8,1.2,High,Azul,Branco,568,Nublado,Nao
31228,Team C,Team B,Tuesday,6,7,9.5,8.4,High,Amarelo,Vermelho,625,Ensolarado,Sim
8424,Team B,Team A,Saturday,19,20,5,8.1,Low,Amarelo,Azul,202,Neve,Nao
38364,Team B,Team D,Friday,1,13,4.5,8.8,High,Branco,Azul,358,Chuvoso,Sim
32245,Team C,Team B,Saturday,19,2,4.1,7.7,Medium,Vermelho,Verde,314,Chuvoso,Sim
25500,Team D,Team B,Thursday,2,14,5.9,2.4,Low,Vermelho,Azul,619,Neve,Nao
30281,Team A,Team B,Friday,2,9,9.2,4.7,Medium,Branco,Verde,593,Nublado,Sim
19322,Team D,Team C,Tuesday,19,2,2,8.2,Medium,Verde,Vermelho,95,Neve,Nao
-3112,Team B,Team A,Sunday,2,20,8.4,1.9,High,Verde,Amarelo,63,Neve,Sim
7084,Team C,Team B,Wednesday,6,15,2.6,3.7,Low,Azul,Verde,192,Chuvoso,Nao
30683,Team B,Team A,Friday,10,6,8.2,9.4,High,Verde,Vermelho,378,Chuvoso,Nao
47446,Team C,Team B,Thursday,3,7,5.5,6,Low,Amarelo,Azul,61,Ensolarado,Nao
25593,Team D,Team A,Wednesday,20,18,7.6,9,Medium,Amarelo,Amarelo,786,Neve,Sim
30320,Team D,Team C,Friday,9,14,4.5,8.1,Medium,Branco,Branco,275,Nublado,Sim
43618,Team C,Team D,Sunday,3,3,8,4.4,Low,Amarelo,Azul,533,Chuvoso,Nao
3444,Team D,Team D,Thursday,15,13,9.4,9.7,High,Branco,Verde,235,Chuvoso,Nao
44171,Team D,Team B,Sunday,13,5,4.7,7.9,High,Verde,Branco,409,Neve,Nao
-3032,Team A,Team D,Wednesday,19,1,6.7,7.3,Medium,Vermelho,Amarelo,801,Chuvoso,Sim
7860,Team C,Team C,Tuesday,5,11,3.6,5.9,High,Azul,Branco,444,Neve,Sim
27324,Team B,Team D,Tuesday,6,13,9.4,9.5,High,Vermelho,Verde,541,Ensolarado,Nao
37999,Team D,Team B,Saturday,4,17,9.3,8,High,Vermelho,Branco,694,Nublado,Nao
46479,Team B,Team A,Wednesday,6,18,1.9,2.2,High,Azul,Verde,697,Ensolarado,Nao
5635,Team A,Team A,Thursday,3,7,5.7,6.5,Low,Branco,Vermelho,589,Neve,Nao
45015,Team D,Team C,Tuesday,2,11,1.3,7.5,Medium,Amarelo,Azul,366,Chuvoso,Sim
17154,Team B,Team D,Friday,1,8,8.8,2.3,Low,Azul,Verde,676,Chuvoso,Sim
2797,Team A,Team B,Monday,4,11,6.6,1.3,High,Branco,Vermelho,79,Nublado,Sim
26303,Team C,Team A,Friday,19,5,6.5,7.5,High,Azul,Vermelho,358,Nublado,Sim
37220,Team C,Team C,Tuesday,7,2,3.8,6.2,Low,Azul,Azul,950,Neve,Nao
22538,Team C,Team C,Thursday,2,17,8.7,4.8,High,Amarelo,Branco,948,Neve,Nao
4817,Team A,Team B,Tuesday,12,20,7.2,4.1,Medium,Azul,Vermelho,603,Nublado,Nao
14535,Team D,Team B,Monday,18,1,2.8,1,High,Vermelho,Verde,219,Neve,Nao
41185,Team B,Team C,Tuesday,12,5,4.1,7.8,Low,Verde,Branco,799,Neve,Nao
23966,Team B,Team A,Friday,16,13,1.7,7,Low,Amarelo,Amarelo,89,Nublado,Nao
22929,Team C,Team D,Tuesday,9,8,1.8,6.8,High,Vermelho,Verde,402,Neve,Nao
29348,Team B,Team D,Friday,11,6,7.9,4.1,Medium,Vermelho,Vermelho,118,Neve,Nao
11124,Team A,Team B,Monday,1,20,4.4,1.4,Medium,Azul,Vermelho,567,Neve,Sim
33685,Team D,Team A,Thursday,3,13,9.3,6.2,Medium,Branco,Amarelo,919,Chuvoso,Nao
43397,Team D,Team C,Thursday,15,6,8,7.6,High,Amarelo,Vermelho,741,Ensolarado,Sim
33487,Team A,Team A,Tuesday,14,18,1.9,1.8,Medium,Vermelho,Amarelo,619,Neve,Nao
26705,Team D,Team C,Friday,16,5,5.9,8.3,High,Verde,Verde,162,Ensolarado,Nao
24735,Team A,Team D,Saturday,15,11,8,4.6,High,Verde,Amarelo,778,Neve,Nao
46559,Team A,Team A,Thursday,4,10,9.1,7.7,Medium,Verde,Amarelo,506,Neve,Nao
19682,Team B,Team B,Friday,15,17,1.6,3.4,Low,Verde,Vermelho,949,Nublado,Nao
22294,Team A,Team C,Saturday,12,19,9.4,4.6,Medium,Branco,Amarelo,364,Chuvoso,Sim
29494,Team B,Team B,Thursday,16,8,5.6,9.1,Medium,Amarelo,Azul,308,Ensolarado,Sim
35918,Team D,Team D,Saturday,18,12,6.4,6.1,High,Vermelho,Vermelho,162,Ensolarado,Sim
27780,Team C,Team C,Tuesday,6,6,5,5.6,High,Azul,Branco,902,Chuvoso,Sim
23227,Team D,Team C,Sunday,8,18,6.3,4,Medium,Verde,Verde,250,Neve,Sim
53171,Team B,Team D,Monday,17,14,9.7,5,Low,Vermelho,Branco,996,Ensolarado,Nao
57453,Team A,Team A,Wednesday,14,11,5.9,7.5,Medium,Vermelho,Branco,989,Neve,Sim
34698,Team D,Team D,Monday,2,15,3.1,3.7,Low,Vermelho,Branco,706,Nublado,Nao
13915,Team B,Team A,Thursday,18,18,5.9,5.6,Medium,Branco,Branco,278,Neve,Nao
34348,Team D,Team B,Monday,17,8,3.9,6.7,High,Amarelo,Amarelo,668,Ensolarado,Nao
28022,Team C,Team C,Saturday,6,14,6.6,8.1,Low,Branco,Verde,976,Nublado,Nao
7494,Team C,Team C,Monday,11,1,1.7,2,Low,Vermelho,Verde,677,Neve,Sim
9252,Team D,Team B,Tuesday,11,13,2.1,4.6,High,Branco,Azul,64,Chuvoso,Nao
21761,Team C,Team A,Sunday,11,3,1.5,5.2,High,Vermelho,Branco,802,Neve,Sim
1778,Team B,Team D,Saturday,16,12,6,2.5,Low,Amarelo,Azul,339,Nublado,Nao
17105,Team A,Team B,Monday,16,4,2.5,5.2,High,Amarelo,Vermelho,874,Ensolarado,Sim
30204,Team A,Team C,Tuesday,16,8,4,3.7,Medium,Azul,Azul,735,Nublado,Nao
45199,Team D,Team D,Thursday,14,3,1.9,3,High,Amarelo,Vermelho,116,Chuvoso,Sim
41293,Team D,Team C,Thursday,6,18,9.2,3.2,Medium,Azul,Amarelo,795,Nublado,Sim
10569,Team B,Team D,Saturday,13,13,8.1,8.8,Low,Azul,Vermelho,515,Ensolarado,Sim
-6498,Team A,Team D,Friday,17,15,6,9.4,High,Verde,Vermelho,504,Chuvoso,Sim
38787,Team A,Team D,Sunday,2,19,1.7,1.8,Low,Branco,Vermelho,590,Ensolarado,Nao
39779,Team B,Team C,Sunday,17,10,1.2,1.2,High,Azul,Azul,683,Nublado,Sim
30474,Team C,Team B,Tuesday,18,5,2.9,6.3,Low,Amarelo,Branco,824,Nublado,Sim
16946,Team A,Team D,Sunday,17,9,9.2,7.9,Medium,Azul,Vermelho,841,Neve,Sim
23944,Team D,Team C,Monday,11,2,4.1,7.7,High,Verde,Verde,146,Ensolarado,Sim
6379,Team C,Team B,Tuesday,4,5,4.4,3.2,Medium,Azul,Azul,182,Nublado,Sim
21803,Team A,Team B,Saturday,18,19,7.4,3.1,High,Branco,Verde,900,Ensolarado,Nao
39679,Team C,Team C,Friday,20,17,6,5.1,High,Vermelho,Azul,776,Chuvoso,Nao
21309,Team C,Team A,Saturday,1,10,1.3,3.2,Medium,Amarelo,Branco,963,Chuvoso,Nao
28300,Team A,Team D,Saturday,5,3,9.9,9.4,Medium,Branco,Verde,210,Neve,Sim
13267,Team A,Team D,Wednesday,8,13,3.2,5.1,Low,Amarelo,Amarelo,182,Chuvoso,Nao
10199,Team B,Team B,Tuesday,13,10,3.9,1.5,Medium,Verde,Verde,270,Chuvoso,Nao
29333,Team D,Team D,Tuesday,4,3,6.6,7.5,High,Verde,Verde,278,Neve,Nao
34126,Team A,Team C,Sunday,18,2,1.5,5.3,Medium,Branco,Vermelho,783,Neve,Nao
32609,Team A,Team B,Wednesday,3,5,4.2,2.6,Low,Branco,Branco,652,Ensolarado,Nao
7163,Team D,Team C,Tuesday,18,6,4.9,5,Low,Branco,Amarelo,892,Neve,Sim
